aaleniană, s.f.
polifonie, s.f.
polifonizare, s.f.
polifuncționalitate, s.f.
polifuncțională, s.f.
poligală, s.f.
poligam, s.m.
poligamie, s.f.
poligamă, s.f.
poligen, s.m.
poligeneză, s.f.
poligenic, s.m.
poligenie, s.f.
poligenism, s.n.
poligenistă, s.f.
poliglobulie, s.f.
poliglot, s.m.
poliglotă, s.f.
poliglucidă, s.f.
poligon, s.n.
poligon, s.n.
poligonacee, s.f.
poligonală, s.f.
poligonație, s.f.
poligonometrie, s.f.
poligraf, s.m.
poligrafic, s.m.
poligrafie, s.f.
polihibrid, s.m.
polihibridare, s.f.
polihibridism, s.n.
polihistor, s.m.
poliizopren, s.m.
polilateral, s.m.
polilaterală, s.f.
polilingvism, s.n.
poliloghie, s.f.
polimer, s.m.
polimerism, s.n.
polimerizare, s.f.
polimerizată, s.f.
polimetalic, s.m.
polimetrie, s.f.
polimineral, s.m.
poliminerală, s.f.
polimixină, s.f.
polimolecular, s.m.
polimoleculară, s.f.
polimorf, s.m.
polimorfică, s.f.
polimorfie, s.f.
polimorfism, s.n.
polimorfă, s.f.
polinațională, s.f.
polinevrită, s.f.
polineziană, s.f.
polinic, s.m.
polinie, s.f.
polinifer, s.m.
polinizare, s.f.
polinizație, s.f.
polinom, s.n.
polinom, s.n.
polinomial, s.m.
polinomială, s.f.
polinucleară, s.f.
polinucleoză, s.f.
polinuculă, s.f.
poliodă, s.f.
poliomielită, s.f.
polioximetilenă, s.f.
polip, s.m.
polipeptidă, s.f.
polipetal, s.m.
polipetală, s.f.
polipier, s.m.
poliploidie, s.f.
poliploidă, s.f.
polipnee, s.f.
polipodă, s.f.
poliporacee, s.f.
polipoză, s.f.
polipropenă, s.f.
polipropilenă, s.f.
poliptic, s.n.
poliritmic, s.m.
poliritmie, s.f.
polis, s.n.
polisemantism, s.n.
polisemantizare, s.f.
polisemic, s.m.
polisemie, s.f.
polisensibilizare, s.f.
polisenzorial, s.m.
polisenzorială, s.f.
polisepal, s.m.
polisepală, s.f.
polisier, s.n.
polisilabic, s.m.
polisilogism, s.n.
polisimetrie, s.f.
polisindeton, s.n.
polisintetism, s.n.
polisinteză, s.f.
polisoar, s.n.
polispermie, s.f.
polisportivă, s.f.
polistiren, s.m.
polisulfură, s.f.
politehnic, s.m.
politehnician, s.m.
politehniciană, s.f.
politehnicism, s.n.
politehnicist, s.m.
politehnică, s.f.
politehnizare, s.f.
politeism, s.n.
politeistă, s.f.
politematism, s.n.
politicard, s.m.
politicastru, s.m.
politichie, s.f.
politician, s.m.
politicianism, s.n.
politicianistă, s.f.
politicoasă, s.f.
politică, s.f.
politică, s.f.
politicărie, s.f.
politie, s.f.
politip, s.n.
politizare, s.f.
politizată, s.f.
politolog, s.m.
politologic, s.m.
politologie, s.f.
politomie, s.f.
politonalism, s.n.
politonalitate, s.f.
politonală, s.f.
politopie, s.f.
politraumatism, s.n.
politrofie, s.f.
politropism, s.n.
politropă, s.f.
politruc, s.m.
poliuretan, s.m.
poliurie, s.f.
polivalent, s.m.
polivalentă, s.f.
polivalență, s.f.
polivinil, s.n.
polivinilic, s.m.
polivinilică, s.f.
polivitamină, s.f.
polizaharidă, s.f.
polizaj, s.n.
polizare, s.f.
polizat, s.n.
polizator, s.m.
polizator, s.n.
polizată, s.f.
polizor, s.m.
polizor, s.n.
poliș, s.m.
polițai, s.m.
polițar, s.m.
poliție, s.f.
polițism, s.n.
polițist, s.m.
polițistă, s.f.
polițmaistru, s.m.
poliță, s.f.
polnoglasie, s.f.
polo, s.n.
poloboc, s.n.
polobocel, s.n.
polog, s.n.
pologar, s.m.
pologaș, s.m.
pologit, s.n.
polologhie, s.f.
polon, s.m.
polonez, s.m.
poloneză, s.f.
polonic, s.n.
poloniu, s.n.
polonizare, s.f.
polonizată, s.f.
polonă, s.f.
poltinic, s.m.
poltron, s.m.
poltronerie, s.f.
poltronism, s.n.
poltronă, s.f.
polturac, s.m.
poluant, s.m.
poluantă, s.f.
poluare, s.f.
poluată, s.f.
polunoșniță, s.f.
polușcă, s.f.
poluție, s.f.
polygonală, s.f.
pom, s.m.
pomacee, s.f.
pomadă, s.f.
pomanagioaică, s.f.
pomanagiu, s.m.
pomelnic, s.n.
pomelă, s.f.
pomeneală, s.f.
pomenire, s.f.
pomenită, s.f.
pomet, s.n.
pomet, s.m.
pomet, s.n.
pomete, s.m.
pomicol, s.m.
pomicolă, s.f.
pomicultură, s.f.
pomieră, s.f.
pomină, s.f.
pomiviticol, s.m.
pomiviticolă, s.f.
pomișoară, s.f.
pomișor, s.m.
pomiște, s.f.
pomojnic, s.m.
pomolog, s.m.
pomologic, s.m.
pomologie, s.f.
pomosteală, s.f.
pomostină, s.f.
pomostire, s.f.
pomostită, s.f.
pomoșnic, s.m.
pomoștină, s.f.
pompagiu, s.m.
pompaj, s.n.
pompare, s.f.
pompată, s.f.
pompier, s.m.
pompierie, s.f.
pompierism, s.n.
pompierizare, s.f.
pompistă, s.f.
pompiță, s.f.
pompoasă, s.f.
pompon, s.n.
pompon, s.n.
pomponare, s.f.
pompozitate, s.f.
pomuleț, s.m.
pomușoară, s.f.
pomădare, s.f.
pomădată, s.f.
pomăduire, s.f.
pomăduită, s.f.
pomărit, s.n.
pomăzuire, s.f.
poncho, s.n.
poncif, s.n.
poncif, s.n.
ponciș, s.m.
poncișă, s.f.
pond, s.n.
ponderabilitate, s.f.
ponderabilă, s.f.
ponderal, s.m.
ponderală, s.f.
ponderare, s.f.
ponderată, s.f.
ponderație, s.f.
pondere, s.f.
ponderitate, s.f.
ponderozitate, s.f.
ponegreală, s.f.
ponegrire, s.f.
ponegrită, s.f.
ponei, s.m.
ponihoasă, s.f.
ponit, s.n.
ponivoasă, s.f.
ponofobie, s.f.
ponor, s.n.
ponorită, s.f.
ponorâtură, s.f.
ponos, s.n.
ponoseală, s.f.
ponosire, s.f.
ponosită, s.f.
ponosluire, s.f.
pont, s.n.
pont, s.m.
pont, s.n.
pontaj, s.n.
pontare, s.f.
pontat, s.n.
pontată, s.f.
pontaș, s.m.
pontefice, s.m.
pontif, s.m.
pontifical, s.m.
pontificală, s.f.
pontificare, s.f.
pontificat, s.n.
pontifice, s.m.
pontil, s.m.
pontil, s.n.
pontilare, s.f.
ponton, s.n.
ponton, s.n.
pontonier, s.m.
pontă, s.f.
ponțiană, s.f.
pop, s.n.
pop, s.m.
popas, s.n.
popaz, s.m.
popenchi, s.m.
popic, s.n.
popicar, s.m.
popicară, s.f.
popicărie, s.f.
popie, s.f.
popilnic, s.m.
popime, s.f.
popincă, s.f.
popire, s.f.
popistrare, s.f.
popistrată, s.f.
popistrire, s.f.
popistrită, s.f.
popită, s.f.
poplin, s.n.
poplin, s.n.
popol, s.m.
poponeață, s.f.
poponete, s.m.
poponeț, s.m.
poponeț, s.n.
popor, s.n.
poporal, s.m.
poporală, s.f.
poporaneitate, s.f.
poporanism, s.n.
poporanistă, s.f.
poporație, s.f.
poporațiune, s.f.
poporime, s.f.
poporoasă, s.f.
poposire, s.f.
poposită, s.f.
popotar, s.m.
popotă, s.f.
popou, s.n.
popou, s.n.
popreală, s.f.
poprire, s.f.
poprită, s.f.
popul, s.m.
populament, s.n.
popular, s.m.
populare, s.f.
popularitate, s.f.
popularizant, s.m.
popularizantă, s.f.
popularizare, s.f.
popularizată, s.f.
populară, s.f.
populată, s.f.
populație, s.f.
populațională, s.f.
populaționistică, s.f.
populațiune, s.f.
populism, s.n.
popustă, s.f.
popușoiște, s.f.
popâlnic, s.m.
popândac, s.m.
popândeț, s.n.
popândoc, s.m.
popândău, s.m.
por, s.m.
porc, s.m.
porcan, s.n.
porcar, s.m.
porcelan, s.n.
porcin, s.m.
porcină, s.f.
porcire, s.f.
porcoasă, s.f.
porcoi, s.m.
porcoi, s.n.
porcoiaș, s.m.
porcoiaș, s.n.
porculete, s.m.
porculeț, s.m.
porcuș, s.m.
porcușor, s.m.
porcuț, s.m.
porcăire, s.f.
porcăită, s.f.
porcărie, s.f.
poreclire, s.f.
poreclită, s.f.
poreclă, s.f.
porfir, s.n.
porfiric, s.m.
porfirie, s.f.
porfirină, s.f.
porfirit, s.n.
porfirizare, s.f.
porfiroblast, s.n.
porfirogenet, s.m.
porfirogenetă, s.f.
porfiroidă, s.f.
porfiră, s.f.
poriclă, s.f.
porifer, s.m.
porneală, s.f.
pornire, s.f.
pornitor, s.n.
pornitură, s.f.
pornită, s.f.
pornograf, s.m.
pornografic, s.m.
pornografie, s.f.
pornomagazin, s.n.
poroasă, s.f.
poroclire, s.f.
poroclită, s.f.
poroinic, s.m.
poronceală, s.f.
poroncire, s.f.
poroncită, s.f.
poroncă, s.f.
poroplast, s.n.
porozimetru, s.n.
porozitate, s.f.
port, s.n.
port, s.m.
port, s.n.
portabilitate, s.f.
portabilă, s.f.
portaj, s.n.
portal, s.n.
portaltoi, s.n.
portament, s.n.
portant, s.m.
portantă, s.f.
portanță, s.f.
portar, s.m.
portare, s.f.
portarmă, s.f.
portativ, s.n.
portativă, s.f.
portavion, s.n.
portavion, s.n.
portbagaj, s.n.
portbaionetă, s.f.
portbilet, s.n.
portbobină, s.f.
portbrancardă, s.f.
portbuletin, s.n.
portcart, s.n.
portchei, s.n.
portclișeu, s.n.
portcontainer, s.n.
portconteiner, s.n.
portcreion, s.n.
portcreion, s.n.
portcuțit, s.n.
portdrapel, s.n.
portelicopter, s.n.
porter, s.n.
portetichetă, s.f.
portfard, s.n.
portfilieră, s.f.
porthart, s.n.
portic, s.n.
portic, s.n.
portieră, s.f.
portiță, s.f.
portjartier, s.n.
portland, s.n.
portlandiană, s.f.
portmantou, s.n.
portmanuscris, s.n.
portmoneu, s.n.
porto, s.n.
portocal, s.m.
portocali, s.m.
portocală, s.f.
portochelari, s.m.
portofei, s.n.
portofel, s.n.
portofoliu, s.n.
portolac, s.m.
portor, s.n.
portoricană, s.f.
portpagină, s.f.
portperie, s.f.
portret, s.n.
portretar, s.m.
portretare, s.f.
portretată, s.f.
portretistică, s.f.
portretizată, s.f.
portsart, s.n.
portsatelit, s.m.
portschi, s.n.
portsculă, s.f.
portsemnal, s.n.
portstindard, s.n.
porttabac, s.n.
portuar, s.m.
portuară, s.f.
portugală, s.f.
portughez, s.m.
portugheză, s.f.
portulac, s.m.
portulacă, s.f.
portulan, s.n.
portvizit, s.n.
portă, s.f.
portăreasă, s.f.
portărel, s.m.
portăriță, s.f.
portțigaret, s.n.
porucic, s.m.
porumb, s.n.
porumb, s.m.
porumbac, s.m.
porumbacă, s.f.
porumbar, s.m.
porumbaș, s.m.
porumbea, s.f.
porumbel, s.m.
porumbelniță, s.f.
porumbelă, s.f.
porumbiște, s.f.
porumbiță, s.f.
porumboaică, s.f.
porumboi, s.m.
porumbă, s.f.
porumbărie, s.f.
porunceală, s.f.
poruncire, s.f.
poruncită, s.f.
poruncă, s.f.
porțelan, s.n.
porțelănărie, s.f.
porție, s.f.
porționare, s.f.
porționată, s.f.
porțiune, s.f.
posac, s.m.
posacă, s.f.
posadă, s.f.
posconiță, s.f.
posedant, s.m.
posedantă, s.f.
posedare, s.f.
posedată, s.f.
posesie, s.f.
posesională, s.f.
posesiune, s.f.
posesivitate, s.f.
posesivă, s.f.
posesor, s.m.
posesori, s.m.
poseur, s.m.
poseură, s.f.
posibil, s.m.
posibilism, s.n.
posibilist, s.m.
posibilitate, s.f.
posibiltate, s.f.
posibilă, s.f.
poslujnic, s.m.
poslușnic, s.m.
posmag, s.m.
posmăgire, s.f.
posmăgită, s.f.
posologic, s.m.
posologie, s.f.
posomorală, s.f.
posomoreală, s.f.
posomorire, s.f.
posomorită, s.f.
posomorâre, s.f.
posomorât, s.m.
posomorâtă, s.f.
pospolită, s.f.
pospăială, s.f.
pospăire, s.f.
pospăită, s.f.
post-configurare, s.f.
post, s.n.
post, s.n.
postabdomen, s.n.
postacut, s.m.
postacută, s.f.
postală, s.f.
postament, s.n.
postaprindere, s.f.
postare, s.f.
postată, s.f.
postav, s.n.
postav, s.n.
postavă, s.f.
postaș, s.m.
postață, s.f.
postbelic, s.m.
postcalcul, s.n.
postcalculație, s.f.
postcombustie, s.f.
postcomunistă, s.f.
postcurativă, s.f.
postcură, s.f.
postdatare, s.f.
postdatată, s.f.
postdată, s.f.
postdiluviană, s.f.
postefect, s.n.
postelectoral, s.m.
postelectorală, s.f.
postelnic, s.m.
postelniceasă, s.f.
postelnicel, s.m.
postelnicie, s.f.
posteminesciană, s.f.
poster, s.n.
poster, s.n.
posterioară, s.f.
posterior, s.m.
posterioritate, s.f.
posteritate, s.f.
posteroinferioară, s.f.
posteroinferior, s.m.
posterolingual, s.m.
posterolinguală, s.f.
posteucă, s.f.
postfațare, s.f.
postfațată, s.f.
postfață, s.f.
postglaciar, s.m.
postglaciară, s.f.
postilion, s.m.
postire, s.f.
postită, s.f.
postiș, s.m.
postișă, s.f.
postliceal, s.m.
postludiu, s.n.
postmeridiană, s.f.
postmodernism, s.n.
postmodernitate, s.f.
postnatal, s.m.
postnatală, s.f.
postnominal, s.n.
postnominală, s.f.
postoroncă, s.f.
postpalatal, s.m.
postpalatală, s.f.
postpașoptistă, s.f.
postpoziție, s.f.
postpozițiune, s.f.
postprandial, s.m.
postprandială, s.f.
postprocesare, s.f.
postprocesor, s.n.
postpuberal, s.m.
postpuberală, s.f.
postpunere, s.f.
postpusă, s.f.
postrevoluționar, s.m.
postrevoluționară, s.f.
postromantism, s.n.
postscenium, s.n.
postsincron, s.n.
postsincron, s.n.
postsincronizare, s.f.
postsincronizată, s.f.
postsonorizare, s.f.
postulant, s.m.
postulantism, s.n.
postulare, s.f.
postulat, s.n.
postulativă, s.f.
postulată, s.f.
postulație, s.f.
postumitate, s.f.
postuniversitar, s.m.
postuniversitară, s.f.
postural, s.m.
posturalitate, s.f.
posturală, s.f.
postură, s.f.
postverbal, s.n.
postă, s.f.
postăvar, s.m.
postăvior, s.n.
postăvăreasă, s.f.
postăvărie, s.f.
postșcolar, s.m.
postșcolară, s.f.
posăceală, s.f.
posăire, s.f.
pot, s.n.
potabilitate, s.f.
potabilă, s.f.
potaie, s.f.
potamobiologie, s.f.
potamobotanică, s.f.
potamofită, s.f.
potamofobie, s.f.
potamografie, s.f.
potamolog, s.m.
potamologie, s.f.
potamologă, s.f.
potasic, s.m.
potasiu, s.n.
potcap, s.n.
potcapic, s.n.
potcaș, s.m.
potcașă, s.f.
potcoavă, s.f.
potcovar, s.m.
potcoveală, s.f.
potcovioară, s.f.
potcovire, s.f.
potcovit, s.n.
potcovită, s.f.
potcovărie, s.f.
potcă, s.f.
potecea, s.f.
potecuță, s.f.
potecă, s.f.
potent, s.m.
potentă, s.f.
potențare, s.f.
potențată, s.f.
potențial, s.m.
potențialitate, s.f.
potențializare, s.f.
potențială, s.f.
potențiometrie, s.f.
potențiometru, s.n.
potență, s.f.
poteraș, s.m.
poterie, s.f.
poticneală, s.f.
poticnire, s.f.
poticnit, s.n.
poticnită, s.f.
potică, s.f.
potir, s.n.
potiraș, s.m.
potiraș, s.n.
potiră, s.f.
potlog, s.n.
potlogar, s.m.
potlogărie, s.f.
potlogărire, s.f.
potlogărit, s.n.
potlogărită, s.f.
potmolire, s.f.
potmolită, s.f.
potnog, s.m.
potoleală, s.f.
potolire, s.f.
potolită, s.f.
potop, s.n.
potopenie, s.f.
potopire, s.f.
potopită, s.f.
potou, s.n.
potou, s.n.
potpuri, s.n.
potpuriu, s.n.
potricală, s.f.
potricălire, s.f.
potricălită, s.f.
potriveală, s.f.
potrivire, s.f.
potrivit, s.n.
potrivită, s.f.
potrivnic, s.m.
potrivnicie, s.f.
potrivă, s.f.
potroacă, s.f.
potroc, s.n.
potronic, s.m.
potropop, s.m.
potropopeasă, s.f.
potâng, s.n.
povarnagiu, s.m.
povață, s.f.
povelire, s.f.
povestar, s.m.
povestaș, s.m.
povestioară, s.f.
povestire, s.f.
povestit, s.n.
povestită, s.f.
povidlă, s.f.
povoară, s.f.
povod, s.n.
povoi, s.n.
povârnire, s.f.
povârnită, s.f.
povârniș, s.n.
povăroasă, s.f.
povățuială, s.f.
povățuire, s.f.
povățuită, s.f.
pozare, s.f.
pozată, s.f.
pozderie, s.f.
pozitivism, s.n.
pozitivistă, s.f.
pozitivitate, s.f.
pozitivizare, s.f.
pozitivă, s.f.
pozitron, s.m.
pozitroniu, s.n.
poziție, s.f.
pozițională, s.f.
poziționare, s.f.
poziționată, s.f.
poziționer, s.n.
pozițiune, s.f.
poznaș, s.m.
poznașă, s.f.
poznă, s.f.
pozologie, s.f.
pozometru, s.n.
pozunar, s.n.
poză, s.f.
poș, s.n.
poșadă, s.f.
poșetă, s.f.
poșidic, s.n.
poșircă, s.f.
poșoar, s.n.
poștal, s.m.
poștalion, s.n.
poștalion, s.n.
poștală, s.f.
poștar, s.m.
poștaș, s.m.
poștie, s.f.
poștă, s.f.
poștăriță, s.f.
poțiune, s.f.
practicabilitate, s.f.
practicant, s.m.
practicantă, s.f.
practicare, s.f.
practicată, s.f.
practician, s.m.
practiciană, s.f.
practicism, s.n.
practicistă, s.f.
practicitate, s.f.
practică, s.f.
practică, s.f.
praf, s.n.
praftoriță, s.f.
praftură, s.f.
prag, s.n.
praghez, s.m.
pragheză, s.f.
pragmatism, s.n.
pragmatistă, s.f.
pragmatizare, s.f.
prahovean, s.m.
prahoveancă, s.f.
prairial, s.m.
praj, s.m.
pralină, s.f.
pramatie, s.f.
prandial, s.m.
prandială, s.f.
prană, s.f.
prapor, s.m.
praporgic, s.m.
prapur, s.m.
prare, s.f.
praseodim, s.n.
prastol, s.n.
pratică, s.f.
pratologie, s.f.
pratostepă, s.f.
prav, s.n.
pravilnic, s.m.
pravilă, s.f.
pravoslavie, s.f.
pravoslavnic, s.m.
pravoslavnicie, s.f.
praxeologie, s.f.
praxie, s.f.
praxiologie, s.f.
praxis, s.n.
praxiu, s.n.
praxiu, s.n.
praxă, s.f.
praznic, s.n.
prașcău, s.m.
prașilă, s.f.
praștie, s.f.
prașă, s.f.
pre-aderare, s.f.
pre-instalare, s.f.
preabataj, s.n.
preabun, s.m.
preabună, s.f.
preacinstită, s.f.
preacurată, s.f.
preacurvie, s.f.
preacurvire, s.f.
preacuvioasă, s.f.
preacuvioșie, s.f.
preaderare, s.f.
preadolescent, s.m.
preadolescentă, s.f.
preadolescență, s.f.
preafericită, s.f.
preafișare, s.f.
preafrumoasă, s.f.
preaiubire, s.f.
preajm, s.n.
preajmă, s.f.
prealabilă, s.f.
prealocare, s.f.
prealuminată, s.f.
preambalare, s.f.
preambalată, s.f.
preambul, s.n.
preambular, s.m.
preambulară, s.f.
preamilostivă, s.f.
preamplificator, s.n.
preamărire, s.f.
preamărită, s.f.
preanestezie, s.f.
preanevinovată, s.f.
preaplecată, s.f.
preaplin, s.n.
preaprețioasă, s.f.
preaprindere, s.f.
preaputernic, s.m.
preasfinție, s.f.
preasfințită, s.f.
preaslăvie, s.f.
preaslăvire, s.f.
preaslăvită, s.f.
preasociată, s.f.
preastimată, s.f.
preastrălucită, s.f.
preavertizare, s.f.
preaviz, s.n.
preavizare, s.f.
preavizată, s.f.
preaînalt, s.m.
preaînaltă, s.f.
preaînvățată, s.f.
preaînălțată, s.f.
preaînțelept, s.m.
preaînțeleptă, s.f.
prebendar, s.m.
prebendă, s.f.
preburghez, s.m.
preburgheză, s.f.
precalculare, s.f.
precalculată, s.f.
precalificare, s.f.
precambriană, s.f.
precapitalistă, s.f.
precar, s.m.
precaritate, s.f.
precară, s.f.
precaut, s.m.
precaută, s.f.
precauție, s.f.
precauțiune, s.f.
precedare, s.f.
precedată, s.f.
precedent, s.m.
precedentă, s.f.
precedență, s.f.
precendență, s.f.
precept, s.n.
preceptist, s.m.
preceptistă, s.f.
preceptoral, s.m.
preceptorală, s.f.
precesie, s.f.
precesională, s.f.
precesiune, s.f.
precestă, s.f.
precipitabilitate, s.f.
precipitabilă, s.f.
precipitant, s.m.
precipitare, s.f.
precipitat, s.n.
precipitată, s.f.
precipitație, s.f.
precipitațiune, s.f.
precipitină, s.f.
precipitron, s.n.
precipitron, s.n.
precipițiu, s.n.
preciput, s.n.
preciroză, s.f.
precistă, s.f.
precisă, s.f.
precizabilă, s.f.
precizare, s.f.
precizată, s.f.
precizie, s.f.
preciziune, s.f.
preclasic, s.m.
preclasicism, s.n.
precocitate, s.f.
precolumbiană, s.f.
precombustie, s.f.
precompetițională, s.f.
precompilator, s.n.
precomprimare, s.f.
precomprimată, s.f.
precomă, s.f.
preconcasare, s.f.
preconcentrare, s.f.
preconcept, s.n.
preconcepție, s.f.
preconcepțiune, s.f.
precondiție, s.f.
preconfigurare, s.f.
preconfigurată, s.f.
preconizare, s.f.
preconizată, s.f.
preconsolidare, s.f.
precontract, s.n.
precontractual, s.m.
precontractuală, s.f.
precordial, s.m.
precordială, s.f.
precorectură, s.f.
precovârșire, s.f.
precovârșită, s.f.
precreștin, s.m.
precreștină, s.f.
precugetare, s.f.
precumpănire, s.f.
precumpănită, s.f.
precumă, s.f.
precupeață, s.f.
precupeț, s.m.
precupeție, s.f.
precupețire, s.f.
precupețită, s.f.
precurmare, s.f.
precurmată, s.f.
precursor, s.m.
precuvântare, s.f.
precuvântată, s.f.
precădere, s.f.
predabilă, s.f.
predală, s.f.
predare, s.f.
predată, s.f.
predecedată, s.f.
predecesor, s.m.
predefinire, s.f.
predefinită, s.f.
predeleancă, s.f.
predelă, s.f.
predestinare, s.f.
predestinată, s.f.
predestinație, s.f.
predeterminant, s.m.
predeterminantă, s.f.
predeterminare, s.f.
predeterminată, s.f.
predeterminație, s.f.
predeterminism, s.n.
predial, s.m.
predială, s.f.
predicabilă, s.f.
predicament, s.n.
predicamental, s.m.
predicamentală, s.f.
predicare, s.f.
predicat, s.n.
predicativitate, s.f.
predicativizare, s.f.
predicativă, s.f.
predicatorial, s.m.
predicatorială, s.f.
predicată, s.f.
predicație, s.f.
predicațiune, s.f.
predictabilitate, s.f.
predictibilitate, s.f.
predictivă, s.f.
predică, s.f.
predică, s.f.
predicție, s.f.
predicțiune, s.f.
predigestie, s.f.
predilect, s.m.
predilectă, s.f.
predilecție, s.f.
predispozant, s.m.
predispozantă, s.f.
predispoziție, s.f.
predispunere, s.f.
predispusă, s.f.
predominant, s.m.
predominantă, s.f.
predominanță, s.f.
predominare, s.f.
predominată, s.f.
predominație, s.f.
predomnire, s.f.
predomnită, s.f.
predoslovie, s.f.
preducea, s.f.
preduf, s.n.
preechipă, s.f.
preelectoral, s.m.
preelectorală, s.f.
preeminent, s.m.
preeminentă, s.f.
preeminență, s.f.
preemptivitate, s.f.
preempțiune, s.f.
preemțiune, s.f.
preerie, s.f.
preexistare, s.f.
preexistată, s.f.
preexistent, s.m.
preexistentă, s.f.
preexistență, s.f.
prefabricare, s.f.
prefabricată, s.f.
prefabricație, s.f.
prefacere, s.f.
prefațare, s.f.
prefațată, s.f.
prefață, s.f.
prefect, s.m.
prefectoral, s.m.
prefectorală, s.f.
prefectură, s.f.
preferabilitate, s.f.
preferabilă, s.f.
preferans, s.n.
preferanț, s.n.
preferanță, s.f.
preferare, s.f.
preferată, s.f.
preferențial, s.m.
preferențială, s.f.
preferențiată, s.f.
preferență, s.f.
preferință, s.f.
preferire, s.f.
preferită, s.f.
prefeudal, s.m.
prefeudală, s.f.
prefigurare, s.f.
prefigurativă, s.f.
prefigurată, s.f.
prefigurație, s.f.
prefilatelie, s.f.
prefiltrare, s.f.
prefiltru, s.n.
prefinală, s.f.
prefirare, s.f.
prefirată, s.f.
prefix, s.n.
prefixal, s.m.
prefixală, s.f.
prefixare, s.f.
prefixată, s.f.
prefixație, s.f.
prefixoid, s.n.
prefixoidal, s.m.
prefixoidală, s.f.
preflorație, s.f.
preflorire, s.f.
prefoliație, s.f.
preforjare, s.f.
preformare, s.f.
preformație, s.f.
preformism, s.n.
prefrontal, s.m.
prefrontală, s.f.
prefăcut, s.m.
prefăcută, s.f.
prefăcătorie, s.f.
prefăcătură, s.f.
pregeneric, s.n.
preget, s.n.
pregetare, s.f.
pregetată, s.f.
pregetătură, s.f.
preghieră, s.f.
preglaciar, s.m.
preglaciară, s.f.
pregnant, s.m.
pregnantă, s.f.
pregnanță, s.f.
pregustare, s.f.
pregustată, s.f.
pregătire, s.f.
pregătită, s.f.
prehensil, s.m.
prehensilă, s.f.
prehensiune, s.f.
preindexare, s.f.
preindustrial, s.m.
preindustrializare, s.f.
preindustrială, s.f.
preinfarct, s.n.
preinstalată, s.f.
preistoric, s.m.
preistorician, s.m.
preistoriciană, s.f.
preistorie, s.f.
prejmet, s.n.
prejmuire, s.f.
prejmă, s.f.
prejudecare, s.f.
prejudecată, s.f.
prejudeț, s.n.
prejudicială, s.f.
prejudiciată, s.f.
prejudiciere, s.f.
prejudiciu, s.n.
prejudițiu, s.n.
prelarg, s.n.
prelatin, s.m.
prelatină, s.f.
prelatură, s.f.
prelată, s.f.
prelecție, s.f.
prelegere, s.f.
prelevare, s.f.
prelevată, s.f.
prelevație, s.f.
preliminar, s.m.
preliminare, s.f.
preliminari, s.m.
preliminară, s.f.
preliminată, s.f.
prelimininară, s.f.
prelingere, s.f.
prelinsă, s.f.
prelinsătură, s.f.
prelogic, s.m.
preluare, s.f.
preluată, s.f.
prelucrabilitate, s.f.
prelucrabilă, s.f.
prelucrare, s.f.
prelucrativă, s.f.
prelucrată, s.f.
preludare, s.f.
preludată, s.f.
preludiu, s.n.
prelugire, s.f.
prelung, s.m.
prelungire, s.f.
prelungitor, s.n.
prelungită, s.f.
preluxație, s.f.
premagnetizare, s.f.
premarxistă, s.f.
premarțial, s.m.
premarțială, s.f.
prematrimonială, s.f.
prematur, s.m.
prematural, s.m.
prematurală, s.f.
prematurare, s.f.
prematură, s.f.
premedicație, s.f.
premeditare, s.f.
premeditată, s.f.
premeditație, s.f.
premeditațiune, s.f.
premeneală, s.f.
premenire, s.f.
premenit, s.n.
premenită, s.f.
premenopauză, s.f.
premersă, s.f.
premial, s.m.
premială, s.f.
premiant, s.m.
premiantă, s.f.
premiată, s.f.
premier, s.m.
premiere, s.f.
premieră, s.f.
premilitar, s.m.
premilitară, s.f.
premilitărie, s.f.
premisă, s.f.
premiu, s.n.
premixaj, s.n.
premiză, s.f.
premodern, s.m.
premodernă, s.f.
premolar, s.m.
premoniție, s.f.
premonopolistă, s.f.
premontaj, s.n.
premuniție, s.f.
prenadare, s.f.
prenadez, s.n.
prenarcoză, s.f.
prenatal, s.m.
prenatală, s.f.
prenoire, s.f.
prenoită, s.f.
prenotare, s.f.
prenotată, s.f.
prenotificare, s.f.
prenovă, s.f.
prenoțiune, s.f.
prenumerant, s.m.
prenumerație, s.f.
prenumărare, s.f.
prenumărată, s.f.
prenupțial, s.m.
prenupțială, s.f.
preobrajenie, s.f.
preocupare, s.f.
preocupată, s.f.
preocupație, s.f.
preolimpiadă, s.f.
preolimpic, s.m.
preomologare, s.f.
preopinare, s.f.
preopinată, s.f.
preopinent, s.m.
preopinentă, s.f.
preot, s.m.
preoteasă, s.f.
preoteșică, s.f.
preoție, s.f.
preoțime, s.f.
preoțire, s.f.
preoțită, s.f.
prepalatal, s.m.
prepalatală, s.f.
prepanație, s.f.
preparandial, s.m.
preparandială, s.f.
preparandie, s.f.
preparare, s.f.
preparat, s.n.
preparată, s.f.
preparație, s.f.
preparațiune, s.f.
prepașoptistă, s.f.
prepeleac, s.m.
prepeleac, s.n.
prepelicar, s.m.
prepelițoi, s.m.
prepeliță, s.f.
preponderant, s.m.
preponderantă, s.f.
preponderanță, s.f.
preponderare, s.f.
preponderată, s.f.
preponderație, s.f.
preponderent, s.m.
preponderentă, s.f.
preponderență, s.f.
prepotent, s.m.
prepotentă, s.f.
prepotență, s.f.
prepotrivire, s.f.
prepozitivă, s.f.
